slug,prompt,reference_urls,engines,notes
desk-clock-001,"卓上アナログ時計。直径80mm、厚み25mm。文字盤は12個のマーカーのみ（数字なし）、短針・長針・秒針を持つ。台座は無し（壁掛け想定）。全体はマットな黒のミニマルデザイン。",,,
phone-stand-001,"スマートフォン用の卓上スタンド。横置き・縦置き両対応。本体は約100x80x60mm。背面にケーブル通し穴。木質感の見た目。",,,
candle-holder-001,"テーパーキャンドル用のホルダー。底面φ70mm、高さ40mm。中央に直径22mmの穴。重厚感のある真鍮風。フチに微妙な装飾溝。",,,
cuboid-black,"Kordによる日常品を再考したコンパクトな立方体型プロダクト。約120x120x120mmのキューブ形状、マットブラック仕上げ、ミニマルで控えめな存在感、精緻なディテールを持つ。","https://minimalissimo.com/api/media/file/website-9.jpg https://minimalissimo.com/api/media/file/website-11.jpg https://minimalissimo.com/api/media/file/website-12.jpg",,
stando,"Guerra Officeによる日本製のキッチン用ピンセット型トング。日本の調理用箸のテーパー形状をベースにし、全長約180mm、先端が細く根本にかけて緩やかに太くなる。中央付近に置いた時に先端が浮く凸部があり、卓上で先端が汚れない設計。マットなステンレス仕上げ。","https://minimalissimo.com/api/media/file/stando-3.jpg https://minimalissimo.com/api/media/file/stando-4.jpg https://minimalissimo.com/api/media/file/stando-2.jpg https://minimalissimo.com/api/media/file/stando-1.jpg https://minimalissimo.com/api/media/file/stando-5.jpg https://minimalissimo.com/api/media/file/stando-6.jpg",,
herman-miller-powerbox,"Future Facilityによる携帯型の共有高容量モバイルバッテリー。約100x60x20mmの角丸長方形ボディ、4ポートのUSB出力で複数デバイスを同時充電可能。表面はマットなライトグレー、ミニマルで道具的な佇まい。","https://minimalissimo.com/api/media/file/hm-powerbox-1.jpg https://minimalissimo.com/api/media/file/hm-powerbox-2.jpg https://minimalissimo.com/api/media/file/hm-powerbox-3.jpg https://minimalissimo.com/api/media/file/hm-powerbox-4.jpg https://minimalissimo.com/api/media/file/hm-powerbox-5.jpg https://minimalissimo.com/api/media/file/hm-powerbox-6.jpg",,
tracks-headphones,"AIAIAI（デザイン: KiBiSi）によるオーバーイヤー型ヘッドフォン。軽量フレーム、円形イヤーカップ直径約90mm、シンプルなヘッドバンド、つや消しブラックとアルミのアクセント。ケーブル着脱式。ミニマルで本質的なフォルム。","https://minimalissimo.com/api/media/file/tracks-headphones-9.jpg https://minimalissimo.com/api/media/file/tracks-headphones-10.jpg https://minimalissimo.com/api/media/file/tracks-headphones-11.jpg https://minimalissimo.com/api/media/file/tracks-headphones-12.jpg",,
windmill-fan,"Branch Creativeによる卓上扇風機。直径約250mmの円形グリルと細いスタンド、ファン本体厚み約60mm。ホワイトとライトグレーの2トーン、シンプルな操作ボタンが背面に1つのみ。風車を思わせる4枚羽根のミニマルデザイン。","https://minimalissimo.com/api/media/file/windmill-fan-17.jpg https://minimalissimo.com/api/media/file/windmill-fan-18.jpg https://minimalissimo.com/api/media/file/windmill-fan-19.jpg https://minimalissimo.com/api/media/file/windmill-fan-20.jpg https://minimalissimo.com/api/media/file/windmill-fan-21.jpg https://minimalissimo.com/api/media/file/windmill-fan-22.jpg https://minimalissimo.com/api/media/file/windmill-fan-23.jpg https://minimalissimo.com/api/media/file/windmill-fan-24.jpg",,
mardi-mercredi-store,"CREATIVE STUDIO UNRAVELによるアパレル店舗の什器をモチーフにした什器ユニット。約1800x600x400mmの直方体ベンチ／ディスプレイ台、スチール脚と薄いトップ天板、マットなオフホワイト塗装。ミニマルで建築的なフォルム。","https://minimalissimo.com/api/media/file/mardi-mercredi-41.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-42.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-43.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-44.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-45.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-46.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-47.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-48.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-49.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-50.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-51.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-52.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-53.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-54.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-55.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-56.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-57.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-58.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-59.jpg https://minimalissimo.com/api/media/file/mardi-mercredi-60.jpg",,
naust,"Espen Surnevikによる切妻屋根のボートハウス（ナウスト）形状の小さな建築模型。基本寸法 約200x100x120mm、急勾配の三角屋根、木材質感、両端に大きな開口部。スカンジナビアン・ミニマルな佇まい。","https://minimalissimo.com/api/media/file/naust-33.jpg https://minimalissimo.com/api/media/file/naust-34.jpg https://minimalissimo.com/api/media/file/naust-35.jpg https://minimalissimo.com/api/media/file/naust-36.jpg https://minimalissimo.com/api/media/file/naust-37.jpg https://minimalissimo.com/api/media/file/naust-38.jpg https://minimalissimo.com/api/media/file/naust-39.jpg https://minimalissimo.com/api/media/file/naust-40.jpg https://minimalissimo.com/api/media/file/naust-41.jpg https://minimalissimo.com/api/media/file/naust-42.jpg https://minimalissimo.com/api/media/file/naust-43.jpg https://minimalissimo.com/api/media/file/naust-44.jpg https://minimalissimo.com/api/media/file/naust-45.jpg https://minimalissimo.com/api/media/file/naust-46.jpg https://minimalissimo.com/api/media/file/naust-47.jpg https://minimalissimo.com/api/media/file/naust-48.jpg",,
kombu,"KOMBUによる家庭用コンブチャ醸造器「Fermenstation」。円筒形ボディ直径約180mm、高さ約300mm、上部に丸いリッド、前面に小さな注ぎ口とディスプレイ。マットなオフホワイトとウォームグレーの2トーン、家電的でないオブジェクトとしての佇まい。","https://minimalissimo.com/api/media/file/kombu-8.jpg https://minimalissimo.com/api/media/file/kombu-4.jpg https://minimalissimo.com/api/media/file/kombu-2.jpg https://minimalissimo.com/api/media/file/kombu-1.jpg https://minimalissimo.com/api/media/file/kombu-3.jpg https://minimalissimo.com/api/media/file/kombu-5.jpg https://minimalissimo.com/api/media/file/kombu-6.jpg https://minimalissimo.com/api/media/file/kombu-7.jpg https://minimalissimo.com/api/media/file/kombu-10.jpg https://minimalissimo.com/api/media/file/kombu-9.jpg",,
analogue-pocket-aluminum,"Analogueによる携帯型レトロゲーム機のアルミ削り出し限定版。約75x150x20mmの縦長ボディ、上部に正方形のディスプレイ、下部に十字キーと4つの丸ボタン、サイドにショルダーボタン2つ。サンドブラストアルミ仕上げ。","https://minimalissimo.com/api/media/file/2-37.jpg https://minimalissimo.com/api/media/file/3-32.jpg https://minimalissimo.com/api/media/file/4-33.jpg https://minimalissimo.com/api/media/file/9-23.jpg https://minimalissimo.com/api/media/file/5-31.jpg https://minimalissimo.com/api/media/file/1-36.jpg",,
link-one-watch,"Johan Linkによるミニマルな腕時計「Link One」。ケース径38mm、厚み8mm、文字盤はインデックスのみで数字なし、針は2本（時針・分針）。ケースとブレスレットはステンレス、サテン仕上げ。リューズは控えめなサイズ。","https://minimalissimo.com/api/media/file/00_link_one-2.jpg https://minimalissimo.com/api/media/file/05_link_one-2.jpg https://minimalissimo.com/api/media/file/06_link_one-2.jpg https://minimalissimo.com/api/media/file/07_link_one-2.jpg https://minimalissimo.com/api/media/file/01_link_one-2.jpg https://minimalissimo.com/api/media/file/02_link_one-2.jpg https://minimalissimo.com/api/media/file/03_link_one-2.jpg https://minimalissimo.com/api/media/file/04_link_one-2.jpg",,
essesi,"Alberto Esses（元Teslaリードインダストリアルデザイナー）によるミニマルプロダクト群。約100x100x40mmの薄い角丸プレート形状を基準に、削り出しアルミとブラックアノダイズの2色構成、表面に細密なヘアラインフィニッシュ。","https://minimalissimo.com/api/media/file/essesi-9-2.jpg https://minimalissimo.com/api/media/file/essesi-7.jpg https://minimalissimo.com/api/media/file/essesi-6.jpg https://minimalissimo.com/api/media/file/essesi-4.jpg https://minimalissimo.com/api/media/file/essesi-3.jpg https://minimalissimo.com/api/media/file/essesi-11.jpg https://minimalissimo.com/api/media/file/essesi-10.jpg https://minimalissimo.com/api/media/file/essesi-2.jpg https://minimalissimo.com/api/media/file/essesi-13.jpg https://minimalissimo.com/api/media/file/essesi-5.jpg https://minimalissimo.com/api/media/file/essesi-8.jpg https://minimalissimo.com/api/media/file/essesi-1.jpg https://minimalissimo.com/api/media/file/essesi-12.jpg https://minimalissimo.com/api/media/file/essesi-14.jpg",,
mini,"Nocsによる小型ワイヤレススピーカー「Mini Speaker」。直径約80mm、高さ約90mmの円筒形ボディ、上面に金属メッシュグリル、側面はソフトタッチ塗装、底面に小さなボタンとUSB-C。ホワイト系のミニマルな外観。","https://minimalissimo.com/api/media/file/nocs-mini-speaker-1.jpg https://minimalissimo.com/api/media/file/nocs-mini-speaker-2.jpg https://minimalissimo.com/api/media/file/nocs-mini-speaker-3.jpg https://minimalissimo.com/api/media/file/nocs-mini-speaker-4.jpg https://minimalissimo.com/api/media/file/nocs-mini-speaker-5.jpg https://minimalissimo.com/api/media/file/nocs-mini-speaker-6.jpg",,
braun-wireless-charger,"Braunによるワイヤレス充電器。直径約100mm、厚さ約10mmの薄い円盤形状、表面はマットなオフホワイト、エッジに細い面取り、中央に小さなLEDインジケーター。ケーブルは背面から1本のみ。","https://minimalissimo.com/api/media/file/braun-wireless-charger-1.jpg https://minimalissimo.com/api/media/file/braun-wireless-charger-6.jpg https://minimalissimo.com/api/media/file/braun-wireless-charger-3.jpg https://minimalissimo.com/api/media/file/braun-wireless-charger-2.jpg https://minimalissimo.com/api/media/file/braun-wireless-charger-5.jpg https://minimalissimo.com/api/media/file/braun-wireless-charger-4.jpg",,
sleep-mask,"Office for Product DesignによるスマートスリープマスクSana。両眼を覆うソフトな曲面シェル、幅約200mm・高さ約80mm・厚さ約30mm、内側にエッグシェル状のアイカップ、外周は伸縮性のあるストラップ。マットなオフホワイトとライトグレーのコンビ。","https://minimalissimo.com/api/media/file/sana_sleep_mask_by_officeforproductdesign_w01.jpg https://minimalissimo.com/api/media/file/sana_sleep_mask_by_officeforproductdesign_w02.jpg https://minimalissimo.com/api/media/file/sana_sleep_mask_by_officeforproductdesign_w03.jpg https://minimalissimo.com/api/media/file/sana_sleep_mask_by_officeforproductdesign_w04.jpg https://minimalissimo.com/api/media/file/sana_sleep_mask_by_officeforproductdesign_w05.jpg https://minimalissimo.com/api/media/file/sana_sleep_mask_by_officeforproductdesign_w06.jpg https://minimalissimo.com/api/media/file/sana_sleep_mask_by_officeforproductdesign_w07_2.jpg https://minimalissimo.com/api/media/file/sana_sleep_mask_by_officeforproductdesign_w13.jpg",,
